"sitenum","latitude","longitude","year","species","cover"
28,36.5099983215332,-121.946665445964,2000,"B. californicus",0
29,36.4799995422363,-121.940002441406,2000,"B. californicus",0
30,36.4466667175293,-121.923332214355,2000,"B. californicus",0
31,35.6599998474121,-121.279998779297,2000,"B. californicus",0
32,35.6300010681152,-121.190002441406,2000,"B. californicus",0
33,35.6100006103516,-121.150001525879,2000,"B. californicus",0
34,34.4599990844727,-120.269996643066,2000,"B. californicus",0
35,34.4599990844727,-120.268179460005,2000,"B. californicus",0
36,34.4540008544922,-120.055999755859,2000,"B. californicus",0
37,34.060001373291,-119.850001017253,2000,"B. californicus",0
38,34.0366655985514,-119.663335164388,2000,"B. californicus",0
39,34.043332417806,-119.780001322428,2000,"B. californicus",0
40,33.7599983215332,-118.419998168945,2000,"B. californicus",0
41,33.7099990844727,-118.309997558594,2000,"B. californicus",0
42,33.7000007629395,-118.286666870117,2000,"B. californicus",0
43,33.4599990844727,-118.519996643066,2000,"B. californicus",0
44,33.4500007629395,-118.480003356934,2000,"B. californicus",0
45,33.439998626709,-118.476669311523,2000,"B. californicus",0
46,32.8400001525879,-117.279998779297,2000,"B. californicus",0
47,32.8199996948242,-117.276664733887,2000,"B. californicus",0
48,32.7116661071777,-117.25,2000,"B. californicus",0
50,45.9133326212565,-123.976669311523,2000,"B. californicus",0
51,45.7549991607666,-123.965000152588,2000,"B. californicus",0
1,48.3891661961873,-124.650001525879,2001,"B. californicus",0
2,48.3375005722046,-124.687501907349,2001,"B. californicus",0
3,48.3133341471354,-124.660003662109,2001,"B. californicus",0
4,47.939998626709,-124.658336639404,2001,"B. californicus",0
5,47.8699989318848,-124.599998474121,2001,"B. californicus",0
6,47.8600006103516,-124.569999694824,2001,"B. californicus",0
9,45.7700004577637,-123.970001220703,2001,"B. californicus",0
10,44.8266677856445,-124.056666056315,2001,"B. californicus",0
11,44.8066673278809,-124.059997558594,2001,"B. californicus",0
12,44.7466672261556,-124.059997558594,2001,"B. californicus",0
13,44.2425012588501,-124.110000610352,2001,"B. californicus",0
14,44.218334197998,-124.110000610352,2001,"B. californicus",0
15,44.2000007629395,-124.110000610352,2001,"B. californicus",0
16,43.3300018310547,-124.374000549316,2001,"B. californicus",0
17,43.310001373291,-124.393333435059,2001,"B. californicus",0
18,43.2999992370605,-124.400001525879,2001,"B. californicus",0
19,41.060001373291,-124.150001525879,2001,"B. californicus",0
20,40.0200004577637,-124.073333740234,2001,"B. californicus",0
21,39.5974988937378,-123.779998779297,2001,"B. californicus",0
22,39.4149990081787,-123.809997558594,2001,"B. californicus",0
23,39.3400001525879,-123.819999694824,2001,"B. californicus",0
24,39.272500038147,-123.7975025177,2001,"B. californicus",0
25,38.3833325703939,-123.086664835612,2001,"B. californicus",0
26,38.3199996948242,-123.069999694824,2001,"B. californicus",0
27,38.310001373291,-123.069999694824,2001,"B. californicus",0
28,36.5099983215332,-121.946665445964,2001,"B. californicus",0
29,36.4799995422363,-121.940002441406,2001,"B. californicus",0
30,36.4466667175293,-121.923332214355,2001,"B. californicus",0
31,35.6599998474121,-121.279998779297,2001,"B. californicus",0
32,35.6300010681152,-121.190002441406,2001,"B. californicus",0
33,35.6100006103516,-121.150001525879,2001,"B. californicus",0
34,34.4599990844727,-120.269996643066,2001,"B. californicus",0
35,34.4599990844727,-120.268179460005,2001,"B. californicus",0
36,34.4540008544922,-120.055999755859,2001,"B. californicus",0
37,34.060001373291,-119.850001017253,2001,"B. californicus",0
38,34.0366655985514,-119.663335164388,2001,"B. californicus",0
39,34.043332417806,-119.780001322428,2001,"B. californicus",0
40,33.7599983215332,-118.419998168945,2001,"B. californicus",0
41,33.7099990844727,-118.309997558594,2001,"B. californicus",0
42,33.7000007629395,-118.286666870117,2001,"B. californicus",0
43,33.4599990844727,-118.519996643066,2001,"B. californicus",0
44,33.4500007629395,-118.480003356934,2001,"B. californicus",0
45,33.439998626709,-118.476669311523,2001,"B. californicus",0
46,32.8400001525879,-117.279998779297,2001,"B. californicus",0
47,32.8199996948242,-117.276664733887,2001,"B. californicus",0
48,32.7116661071777,-117.25,2001,"B. californicus",0
50,45.9133326212565,-123.976669311523,2001,"B. californicus",0
51,45.7549991607666,-123.965000152588,2001,"B. californicus",0
1,48.3891661961873,-124.650001525879,2002,"B. californicus",0
2,48.3375005722046,-124.687501907349,2002,"B. californicus",0
3,48.3133341471354,-124.660003662109,2002,"B. californicus",0
4,47.939998626709,-124.658336639404,2002,"B. californicus",0
5,47.8699989318848,-124.599998474121,2002,"B. californicus",0
6,47.8600006103516,-124.569999694824,2002,"B. californicus",0
9,45.7700004577637,-123.970001220703,2002,"B. californicus",0
10,44.8266677856445,-124.056666056315,2002,"B. californicus",0
11,44.8066673278809,-124.059997558594,2002,"B. californicus",0
12,44.7466672261556,-124.059997558594,2002,"B. californicus",0
13,44.2425012588501,-124.110000610352,2002,"B. californicus",0
14,44.218334197998,-124.110000610352,2002,"B. californicus",0
15,44.2000007629395,-124.110000610352,2002,"B. californicus",0
16,43.3300018310547,-124.374000549316,2002,"B. californicus",0
17,43.310001373291,-124.393333435059,2002,"B. californicus",0
18,43.2999992370605,-124.400001525879,2002,"B. californicus",0
19,41.060001373291,-124.150001525879,2002,"B. californicus",0
20,40.0200004577637,-124.073333740234,2002,"B. californicus",0
21,39.5974988937378,-123.779998779297,2002,"B. californicus",0
22,39.4149990081787,-123.809997558594,2002,"B. californicus",0
23,39.3400001525879,-123.819999694824,2002,"B. californicus",0
24,39.272500038147,-123.7975025177,2002,"B. californicus",0
25,38.3833325703939,-123.086664835612,2002,"B. californicus",0
26,38.3199996948242,-123.069999694824,2002,"B. californicus",0
27,38.310001373291,-123.069999694824,2002,"B. californicus",0
28,36.5099983215332,-121.946665445964,2002,"B. californicus",0
29,36.4799995422363,-121.940002441406,2002,"B. californicus",0
30,36.4466667175293,-121.923332214355,2002,"B. californicus",0
31,35.6599998474121,-121.279998779297,2002,"B. californicus",0
32,35.6300010681152,-121.190002441406,2002,"B. californicus",0
33,35.6100006103516,-121.150001525879,2002,"B. californicus",0
34,34.4599990844727,-120.269996643066,2002,"B. californicus",0
35,34.4599990844727,-120.268179460005,2002,"B. californicus",0
36,34.4540008544922,-120.055999755859,2002,"B. californicus",0
37,34.060001373291,-119.850001017253,2002,"B. californicus",0
38,34.0366655985514,-119.663335164388,2002,"B. californicus",0
39,34.043332417806,-119.780001322428,2002,"B. californicus",0
40,33.7599983215332,-118.419998168945,2002,"B. californicus",0
41,33.7099990844727,-118.309997558594,2002,"B. californicus",0
42,33.7000007629395,-118.286666870117,2002,"B. californicus",0
43,33.4599990844727,-118.519996643066,2002,"B. californicus",0
44,33.4500007629395,-118.480003356934,2002,"B. californicus",0
45,33.439998626709,-118.476669311523,2002,"B. californicus",0.0333
46,32.8400001525879,-117.279998779297,2002,"B. californicus",0
47,32.8199996948242,-117.276664733887,2002,"B. californicus",0
48,32.7116661071777,-117.25,2002,"B. californicus",0
50,45.9133326212565,-123.976669311523,2002,"B. californicus",0
51,45.7549991607666,-123.965000152588,2002,"B. californicus",0
1,48.3891661961873,-124.650001525879,2003,"B. californicus",0
2,48.3375005722046,-124.687501907349,2003,"B. californicus",0
3,48.3133341471354,-124.660003662109,2003,"B. californicus",0
4,47.939998626709,-124.658336639404,2003,"B. californicus",0
5,47.8699989318848,-124.599998474121,2003,"B. californicus",0
6,47.8600006103516,-124.569999694824,2003,"B. californicus",0
9,45.7700004577637,-123.970001220703,2003,"B. californicus",0
10,44.8266677856445,-124.056666056315,2003,"B. californicus",0
11,44.8066673278809,-124.059997558594,2003,"B. californicus",0
12,44.7466672261556,-124.059997558594,2003,"B. californicus",0
13,44.2425012588501,-124.110000610352,2003,"B. californicus",0
14,44.218334197998,-124.110000610352,2003,"B. californicus",0
15,44.2000007629395,-124.110000610352,2003,"B. californicus",0
16,43.3300018310547,-124.374000549316,2003,"B. californicus",0
17,43.310001373291,-124.393333435059,2003,"B. californicus",0
18,43.2999992370605,-124.400001525879,2003,"B. californicus",0
19,41.060001373291,-124.150001525879,2003,"B. californicus",0
20,40.0200004577637,-124.073333740234,2003,"B. californicus",0
21,39.5974988937378,-123.779998779297,2003,"B. californicus",0
22,39.4149990081787,-123.809997558594,2003,"B. californicus",0
23,39.3400001525879,-123.819999694824,2003,"B. californicus",0
24,39.272500038147,-123.7975025177,2003,"B. californicus",0
25,38.3833325703939,-123.086664835612,2003,"B. californicus",0
26,38.3199996948242,-123.069999694824,2003,"B. californicus",0
27,38.310001373291,-123.069999694824,2003,"B. californicus",0
28,36.5099983215332,-121.946665445964,2003,"B. californicus",0
29,36.4799995422363,-121.940002441406,2003,"B. californicus",0
30,36.4466667175293,-121.923332214355,2003,"B. californicus",0
31,35.6599998474121,-121.279998779297,2003,"B. californicus",0
32,35.6300010681152,-121.190002441406,2003,"B. californicus",0
33,35.6100006103516,-121.150001525879,2003,"B. californicus",0
34,34.4599990844727,-120.269996643066,2003,"B. californicus",0
35,34.4599990844727,-120.268179460005,2003,"B. californicus",0
36,34.4540008544922,-120.055999755859,2003,"B. californicus",0.03
37,34.060001373291,-119.850001017253,2003,"B. californicus",0
38,34.0366655985514,-119.663335164388,2003,"B. californicus",0
39,34.043332417806,-119.780001322428,2003,"B. californicus",0
40,33.7599983215332,-118.419998168945,2003,"B. californicus",0.0333
41,33.7099990844727,-118.309997558594,2003,"B. californicus",0
42,33.7000007629395,-118.286666870117,2003,"B. californicus",0
43,33.4599990844727,-118.519996643066,2003,"B. californicus",0.0333
44,33.4500007629395,-118.480003356934,2003,"B. californicus",0
45,33.439998626709,-118.476669311523,2003,"B. californicus",0.0333
46,32.8400001525879,-117.279998779297,2003,"B. californicus",0
47,32.8199996948242,-117.276664733887,2003,"B. californicus",0.2333
48,32.7116661071777,-117.25,2003,"B. californicus",0
50,45.9133326212565,-123.976669311523,2003,"B. californicus",0
51,45.7549991607666,-123.965000152588,2003,"B. californicus",0
1,48.3891661961873,-124.650001525879,2004,"B. californicus",0
2,48.3375005722046,-124.687501907349,2004,"B. californicus",0
3,48.3133341471354,-124.660003662109,2004,"B. californicus",0
4,47.939998626709,-124.658336639404,2004,"B. californicus",0
5,47.8699989318848,-124.599998474121,2004,"B. californicus",0
6,47.8600006103516,-124.569999694824,2004,"B. californicus",0
9,45.7700004577637,-123.970001220703,2004,"B. californicus",0
10,44.8266677856445,-124.056666056315,2004,"B. californicus",0
11,44.8066673278809,-124.059997558594,2004,"B. californicus",0
12,44.7466672261556,-124.059997558594,2004,"B. californicus",0
13,44.2425012588501,-124.110000610352,2004,"B. californicus",0
14,44.218334197998,-124.110000610352,2004,"B. californicus",0
15,44.2000007629395,-124.110000610352,2004,"B. californicus",0
16,43.3300018310547,-124.374000549316,2004,"B. californicus",0
17,43.310001373291,-124.393333435059,2004,"B. californicus",0
18,43.2999992370605,-124.400001525879,2004,"B. californicus",0
19,41.060001373291,-124.150001525879,2004,"B. californicus",0
20,40.0200004577637,-124.073333740234,2004,"B. californicus",0
21,39.5974988937378,-123.779998779297,2004,"B. californicus",0
22,39.4149990081787,-123.809997558594,2004,"B. californicus",0
23,39.3400001525879,-123.819999694824,2004,"B. californicus",0
24,39.272500038147,-123.7975025177,2004,"B. californicus",0
25,38.3833325703939,-123.086664835612,2004,"B. californicus",0
26,38.3199996948242,-123.069999694824,2004,"B. californicus",0
27,38.310001373291,-123.069999694824,2004,"B. californicus",0
28,36.5099983215332,-121.946665445964,2004,"B. californicus",0.0333
29,36.4799995422363,-121.940002441406,2004,"B. californicus",0
30,36.4466667175293,-121.923332214355,2004,"B. californicus",0
31,35.6599998474121,-121.279998779297,2004,"B. californicus",0.0333
50,45.9133326212565,-123.976669311523,2004,"B. californicus",0
51,45.7549991607666,-123.965000152588,2004,"B. californicus",0
8,45.9300003051758,-123.986666361491,1999,"S. cariosus",15
10,44.8266677856445,-124.056666056315,1999,"S. cariosus",14.4667
11,44.8066673278809,-124.059997558594,1999,"S. cariosus",2.0667
12,44.7466672261556,-124.059997558594,1999,"S. cariosus",20.8
13,44.2425012588501,-124.110000610352,1999,"S. cariosus",9.7333
14,44.218334197998,-124.110000610352,1999,"S. cariosus",7.6333
15,44.2000007629395,-124.110000610352,1999,"S. cariosus",12.5
16,43.3300018310547,-124.374000549316,1999,"S. cariosus",5.2
17,43.310001373291,-124.393333435059,1999,"S. cariosus",4.0333
18,43.2999992370605,-124.400001525879,1999,"S. cariosus",2.3333
19,41.060001373291,-124.150001525879,1999,"S. cariosus",3.0667
20,40.0200004577637,-124.073333740234,1999,"S. cariosus",6.6667
21,39.5974988937378,-123.779998779297,1999,"S. cariosus",5.7
22,39.4149990081787,-123.809997558594,1999,"S. cariosus",0.9
23,39.3400001525879,-123.819999694824,1999,"S. cariosus",4.9
24,39.272500038147,-123.7975025177,1999,"S. cariosus",0.6
1,48.3891661961873,-124.650001525879,2000,"S. cariosus",4.4
2,48.3375005722046,-124.687501907349,2000,"S. cariosus",4.2333
3,48.3133341471354,-124.660003662109,2000,"S. cariosus",3.4
4,47.939998626709,-124.658336639404,2000,"S. cariosus",6.8333
5,47.8699989318848,-124.599998474121,2000,"S. cariosus",3.4667
6,47.8600006103516,-124.569999694824,2000,"S. cariosus",3.5
9,45.7700004577637,-123.970001220703,2000,"S. cariosus",3.9
10,44.8266677856445,-124.056666056315,2000,"S. cariosus",15.1667
11,44.8066673278809,-124.059997558594,2000,"S. cariosus",13.3333
12,44.7466672261556,-124.059997558594,2000,"S. cariosus",23.3667
13,44.2425012588501,-124.110000610352,2000,"S. cariosus",9.9333
14,44.218334197998,-124.110000610352,2000,"S. cariosus",15.3667
15,44.2000007629395,-124.110000610352,2000,"S. cariosus",13.0667
16,43.3300018310547,-124.374000549316,2000,"S. cariosus",0.0667
17,43.310001373291,-124.393333435059,2000,"S. cariosus",0.4667
18,43.2999992370605,-124.400001525879,2000,"S. cariosus",1.8
19,41.060001373291,-124.150001525879,2000,"S. cariosus",0.7667
20,40.0200004577637,-124.073333740234,2000,"S. cariosus",2.3
21,39.5974988937378,-123.779998779297,2000,"S. cariosus",10.2667
22,39.4149990081787,-123.809997558594,2000,"S. cariosus",0.2759
23,39.3400001525879,-123.819999694824,2000,"S. cariosus",2.0333
24,39.272500038147,-123.7975025177,2000,"S. cariosus",2.2069
25,38.3833325703939,-123.086664835612,2000,"S. cariosus",1.6333
26,38.3199996948242,-123.069999694824,2000,"S. cariosus",0.5
27,38.310001373291,-123.069999694824,2000,"S. cariosus",2.1
28,36.5099983215332,-121.946665445964,2000,"S. cariosus",0.2667
29,36.4799995422363,-121.940002441406,2000,"S. cariosus",2.2
30,36.4466667175293,-121.923332214355,2000,"S. cariosus",1.4667
31,35.6599998474121,-121.279998779297,2000,"S. cariosus",0.3103
32,35.6300010681152,-121.190002441406,2000,"S. cariosus",2.2069
33,35.6100006103516,-121.150001525879,2000,"S. cariosus",0.931
34,34.4599990844727,-120.269996643066,2000,"S. cariosus",1.2333
35,34.4599990844727,-120.268179460005,2000,"S. cariosus",2.0182
36,34.4540008544922,-120.055999755859,2000,"S. cariosus",3.11
37,34.060001373291,-119.850001017253,2000,"S. cariosus",0
38,34.0366655985514,-119.663335164388,2000,"S. cariosus",0
39,34.043332417806,-119.780001322428,2000,"S. cariosus",0
40,33.7599983215332,-118.419998168945,2000,"S. cariosus",0
41,33.7099990844727,-118.309997558594,2000,"S. cariosus",0
42,33.7000007629395,-118.286666870117,2000,"S. cariosus",0
43,33.4599990844727,-118.519996643066,2000,"S. cariosus",0
44,33.4500007629395,-118.480003356934,2000,"S. cariosus",0
45,33.439998626709,-118.476669311523,2000,"S. cariosus",0
46,32.8400001525879,-117.279998779297,2000,"S. cariosus",0
47,32.8199996948242,-117.276664733887,2000,"S. cariosus",0
48,32.7116661071777,-117.25,2000,"S. cariosus",0
50,45.9133326212565,-123.976669311523,2000,"S. cariosus",16.4
51,45.7549991607666,-123.965000152588,2000,"S. cariosus",6.7
1,48.3891661961873,-124.650001525879,2001,"S. cariosus",2.8621
2,48.3375005722046,-124.687501907349,2001,"S. cariosus",3.5
3,48.3133341471354,-124.660003662109,2001,"S. cariosus",0.7
4,47.939998626709,-124.658336639404,2001,"S. cariosus",0.8667
5,47.8699989318848,-124.599998474121,2001,"S. cariosus",0.2667
6,47.8600006103516,-124.569999694824,2001,"S. cariosus",0.6
9,45.7700004577637,-123.970001220703,2001,"S. cariosus",13
10,44.8266677856445,-124.056666056315,2001,"S. cariosus",7.7333
11,44.8066673278809,-124.059997558594,2001,"S. cariosus",3.4333
12,44.7466672261556,-124.059997558594,2001,"S. cariosus",22.3667
13,44.2425012588501,-124.110000610352,2001,"S. cariosus",12.2667
14,44.218334197998,-124.110000610352,2001,"S. cariosus",3.5
15,44.2000007629395,-124.110000610352,2001,"S. cariosus",11.2
16,43.3300018310547,-124.374000549316,2001,"S. cariosus",2.6
17,43.310001373291,-124.393333435059,2001,"S. cariosus",4.1667
18,43.2999992370605,-124.400001525879,2001,"S. cariosus",3.9
19,41.060001373291,-124.150001525879,2001,"S. cariosus",2.3667
20,40.0200004577637,-124.073333740234,2001,"S. cariosus",16.6333
21,39.5974988937378,-123.779998779297,2001,"S. cariosus",5.4667
22,39.4149990081787,-123.809997558594,2001,"S. cariosus",1.7667
23,39.3400001525879,-123.819999694824,2001,"S. cariosus",2.4
24,39.272500038147,-123.7975025177,2001,"S. cariosus",1
25,38.3833325703939,-123.086664835612,2001,"S. cariosus",1.7241
26,38.3199996948242,-123.069999694824,2001,"S. cariosus",3.2
27,38.310001373291,-123.069999694824,2001,"S. cariosus",0.8929
28,36.5099983215332,-121.946665445964,2001,"S. cariosus",0.7667
29,36.4799995422363,-121.940002441406,2001,"S. cariosus",0.6333
30,36.4466667175293,-121.923332214355,2001,"S. cariosus",1.0333
31,35.6599998474121,-121.279998779297,2001,"S. cariosus",0.6333
32,35.6300010681152,-121.190002441406,2001,"S. cariosus",1.2
33,35.6100006103516,-121.150001525879,2001,"S. cariosus",0.7
34,34.4599990844727,-120.269996643066,2001,"S. cariosus",0
35,34.4599990844727,-120.268179460005,2001,"S. cariosus",0
36,34.4540008544922,-120.055999755859,2001,"S. cariosus",0
37,34.060001373291,-119.850001017253,2001,"S. cariosus",0
38,34.0366655985514,-119.663335164388,2001,"S. cariosus",0
39,34.043332417806,-119.780001322428,2001,"S. cariosus",0
40,33.7599983215332,-118.419998168945,2001,"S. cariosus",0
41,33.7099990844727,-118.309997558594,2001,"S. cariosus",0
42,33.7000007629395,-118.286666870117,2001,"S. cariosus",0
43,33.4599990844727,-118.519996643066,2001,"S. cariosus",0
44,33.4500007629395,-118.480003356934,2001,"S. cariosus",0
45,33.439998626709,-118.476669311523,2001,"S. cariosus",0
46,32.8400001525879,-117.279998779297,2001,"S. cariosus",0
47,32.8199996948242,-117.276664733887,2001,"S. cariosus",0
48,32.7116661071777,-117.25,2001,"S. cariosus",0
50,45.9133326212565,-123.976669311523,2001,"S. cariosus",16.3667
51,45.7549991607666,-123.965000152588,2001,"S. cariosus",13.5667
1,48.3891661961873,-124.650001525879,2002,"S. cariosus",0.8333
2,48.3375005722046,-124.687501907349,2002,"S. cariosus",3.1379
3,48.3133341471354,-124.660003662109,2002,"S. cariosus",0.4286
4,47.939998626709,-124.658336639404,2002,"S. cariosus",3.8
5,47.8699989318848,-124.599998474121,2002,"S. cariosus",0.6667
6,47.8600006103516,-124.569999694824,2002,"S. cariosus",0.0667
9,45.7700004577637,-123.970001220703,2002,"S. cariosus",5.7
10,44.8266677856445,-124.056666056315,2002,"S. cariosus",7.6207
11,44.8066673278809,-124.059997558594,2002,"S. cariosus",3.8
12,44.7466672261556,-124.059997558594,2002,"S. cariosus",14.3
13,44.2425012588501,-124.110000610352,2002,"S. cariosus",4.6667
14,44.218334197998,-124.110000610352,2002,"S. cariosus",8.8667
15,44.2000007629395,-124.110000610352,2002,"S. cariosus",2.4333
16,43.3300018310547,-124.374000549316,2002,"S. cariosus",1.2069
17,43.310001373291,-124.393333435059,2002,"S. cariosus",2.3
18,43.2999992370605,-124.400001525879,2002,"S. cariosus",7.2222
19,41.060001373291,-124.150001525879,2002,"S. cariosus",1.1333
20,40.0200004577637,-124.073333740234,2002,"S. cariosus",36.7333
21,39.5974988937378,-123.779998779297,2002,"S. cariosus",3
22,39.4149990081787,-123.809997558594,2002,"S. cariosus",4.6
23,39.3400001525879,-123.819999694824,2002,"S. cariosus",1.5
24,39.272500038147,-123.7975025177,2002,"S. cariosus",1.1852
25,38.3833325703939,-123.086664835612,2002,"S. cariosus",2.1333
26,38.3199996948242,-123.069999694824,2002,"S. cariosus",0.9667
27,38.310001373291,-123.069999694824,2002,"S. cariosus",2.0357
28,36.5099983215332,-121.946665445964,2002,"S. cariosus",0.2
29,36.4799995422363,-121.940002441406,2002,"S. cariosus",0.0667
30,36.4466667175293,-121.923332214355,2002,"S. cariosus",0.1333
31,35.6599998474121,-121.279998779297,2002,"S. cariosus",0.1333
32,35.6300010681152,-121.190002441406,2002,"S. cariosus",0.1333
33,35.6100006103516,-121.150001525879,2002,"S. cariosus",0.1333
34,34.4599990844727,-120.269996643066,2002,"S. cariosus",0
35,34.4599990844727,-120.268179460005,2002,"S. cariosus",0.0273
36,34.4540008544922,-120.055999755859,2002,"S. cariosus",0
37,34.060001373291,-119.850001017253,2002,"S. cariosus",0
38,34.0366655985514,-119.663335164388,2002,"S. cariosus",0
39,34.043332417806,-119.780001322428,2002,"S. cariosus",0
40,33.7599983215332,-118.419998168945,2002,"S. cariosus",0
41,33.7099990844727,-118.309997558594,2002,"S. cariosus",0
42,33.7000007629395,-118.286666870117,2002,"S. cariosus",0
43,33.4599990844727,-118.519996643066,2002,"S. cariosus",0.3
44,33.4500007629395,-118.480003356934,2002,"S. cariosus",0.0667
45,33.439998626709,-118.476669311523,2002,"S. cariosus",0.1667
46,32.8400001525879,-117.279998779297,2002,"S. cariosus",0
47,32.8199996948242,-117.276664733887,2002,"S. cariosus",0
48,32.7116661071777,-117.25,2002,"S. cariosus",0
50,45.9133326212565,-123.976669311523,2002,"S. cariosus",9.5185
51,45.7549991607666,-123.965000152588,2002,"S. cariosus",13.2759
1,48.3891661961873,-124.650001525879,2003,"S. cariosus",1.7333
2,48.3375005722046,-124.687501907349,2003,"S. cariosus",3.7333
3,48.3133341471354,-124.660003662109,2003,"S. cariosus",0.6667
4,47.939998626709,-124.658336639404,2003,"S. cariosus",3.2
5,47.8699989318848,-124.599998474121,2003,"S. cariosus",0.2333
6,47.8600006103516,-124.569999694824,2003,"S. cariosus",0.1333
9,45.7700004577637,-123.970001220703,2003,"S. cariosus",3.2
10,44.8266677856445,-124.056666056315,2003,"S. cariosus",7.1236
11,44.8066673278809,-124.059997558594,2003,"S. cariosus",2.4778
12,44.7466672261556,-124.059997558594,2003,"S. cariosus",13
13,44.2425012588501,-124.110000610352,2003,"S. cariosus",8.9221
14,44.218334197998,-124.110000610352,2003,"S. cariosus",8.7778
15,44.2000007629395,-124.110000610352,2003,"S. cariosus",7.1556
16,43.3300018310547,-124.374000549316,2003,"S. cariosus",2.3333
17,43.310001373291,-124.393333435059,2003,"S. cariosus",3.5862
18,43.2999992370605,-124.400001525879,2003,"S. cariosus",3.1333
19,41.060001373291,-124.150001525879,2003,"S. cariosus",1.9643
20,40.0200004577637,-124.073333740234,2003,"S. cariosus",17.6207
21,39.5974988937378,-123.779998779297,2003,"S. cariosus",5.2667
22,39.4149990081787,-123.809997558594,2003,"S. cariosus",4.1
23,39.3400001525879,-123.819999694824,2003,"S. cariosus",3.7
24,39.272500038147,-123.7975025177,2003,"S. cariosus",1.2759
25,38.3833325703939,-123.086664835612,2003,"S. cariosus",1.2222
26,38.3199996948242,-123.069999694824,2003,"S. cariosus",0.6
27,38.310001373291,-123.069999694824,2003,"S. cariosus",2.6
28,36.5099983215332,-121.946665445964,2003,"S. cariosus",0.1333
29,36.4799995422363,-121.940002441406,2003,"S. cariosus",0.1
30,36.4466667175293,-121.923332214355,2003,"S. cariosus",0.2667
31,35.6599998474121,-121.279998779297,2003,"S. cariosus",0.2
32,35.6300010681152,-121.190002441406,2003,"S. cariosus",0.5
33,35.6100006103516,-121.150001525879,2003,"S. cariosus",0.2667
34,34.4599990844727,-120.269996643066,2003,"S. cariosus",0
35,34.4599990844727,-120.268179460005,2003,"S. cariosus",0
36,34.4540008544922,-120.055999755859,2003,"S. cariosus",0
37,34.060001373291,-119.850001017253,2003,"S. cariosus",0
38,34.0366655985514,-119.663335164388,2003,"S. cariosus",0
39,34.043332417806,-119.780001322428,2003,"S. cariosus",0
40,33.7599983215332,-118.419998168945,2003,"S. cariosus",0
41,33.7099990844727,-118.309997558594,2003,"S. cariosus",0
42,33.7000007629395,-118.286666870117,2003,"S. cariosus",0
43,33.4599990844727,-118.519996643066,2003,"S. cariosus",0
44,33.4500007629395,-118.480003356934,2003,"S. cariosus",0.2667
45,33.439998626709,-118.476669311523,2003,"S. cariosus",0
46,32.8400001525879,-117.279998779297,2003,"S. cariosus",0
47,32.8199996948242,-117.276664733887,2003,"S. cariosus",0
48,32.7116661071777,-117.25,2003,"S. cariosus",0
50,45.9133326212565,-123.976669311523,2003,"S. cariosus",2.9333
51,45.7549991607666,-123.965000152588,2003,"S. cariosus",12.5
